ID,PearsonCorr,BVol,GVol,WVol,ThicknessSum
3116015,0.806235,1274760,445016,365226,1251790
3116110,0.794177,1529940,497342,422387,1279770
3116823,0.833943,1263300,423804,392663,1089450
3116830,0.816617,1274240,439893,386912,1203620
3117337,0.817707,1368870,459037,394296,1187900
3117405,0.804884,1507320,512521,444504,1382620
3117826,0.830801,1404420,466026,423824,1291210
3118563,0.807243,1335110,445008,385982,1138220
3118884,0.813519,1588890,567416,463234,1665490
3119034,0.826474,1578990,542522,484861,1521180
3119254,0.842436,1560780,546365,479348,1518430
3119339,0.783460,1583540,488333,485436,1112530
3119979,0.838280,1572920,550331,475129,1535320
3120135,0.816410,1408380,444052,420758,1056860
3120342,0.762818,1487410,478430,448779,1203360
3120367,0.767080,1531280,507958,468701,1340690
3120487,0.737538,1512710,475147,457102,1153820
3121400,0.822035,1501200,492669,468816,1358190
3121659,0.772966,1436070,449702,453102,1073430
3121788,0.826691,1586420,528557,477625,1432240
3121963,0.836688,1219360,432719,384818,1187150
3122652,0.795388,1504230,491255,426952,1241600
3123381,0.806334,1326990,464791,400793,1292240
3123730,0.764543,1569790,516610,469003,1332100
3123759,0.777186,1402770,453957,391837,1161350
3123827,0.831627,1615960,525875,474852,1339070
3123866,0.821727,1471260,538541,443668,1645730
3123961,0.810606,1372780,457563,427422,1211970
3124056,0.777452,1526320,454212,448643,1014160
3124341,0.820470,1608990,534074,487928,1549220
3124529,0.765465,1251220,380798,388698,866987
3124801,0.819177,1656920,583321,493139,1648040
3124957,0.807141,1521250,508318,436142,1325010
3125331,0.819181,1327070,457446,425732,1221050
3125362,0.771795,1586020,510534,483370,1308870
3126038,0.761146,1645310,545155,501308,1433960
3126504,0.778451,1513420,464127,461178,1048000
3126725,0.824606,1328380,440710,372070,1120100
3126890,0.786014,1356170,418694,410695,971897
3127064,0.814742,1382780,452804,393269,1184100
3127894,0.821857,1491400,480277,462099,1289440
3128083,0.805511,1546580,480211,473893,1143480
3128485,0.787407,1328240,441528,400346,1055930
3128914,0.818251,1284120,429281,373451,1206440
3129012,0.809551,1386040,485296,388925,1413250
3129197,0.814140,1469780,464351,452826,1136230
3129363,0.774725,1301630,428833,404677,1116940
3130152,0.801403,1379670,444255,421279,1061930
3130509,0.796508,1572760,518912,505787,1322030
3130544,0.820726,1317730,427476,382716,1106260
3130785,0.791288,1502410,509723,439338,1358680
3130892,0.775181,1211530,401012,367011,981778
3131511,0.770874,1486400,467527,491662,1136140
3131526,0.774882,1312560,427698,398425,1065370
3131534,0.817028,1460050,508963,433259,1367060
3131919,0.778373,1549230,515927,464191,1335770
3132314,0.802530,1240910,392669,365195,911876
3133126,0.767637,1502420,475746,455376,1112450
3133142,0.833015,1444680,480809,426290,1369750
3133253,0.819206,1600890,505514,521603,1276710
3133376,0.806795,1180240,396791,362720,1034230
3133458,0.802256,1272990,443762,395806,1227200
3133552,0.822387,1400840,452893,413062,1200290
3134343,0.819785,1196900,397647,353117,1053370
3134521,0.829453,1436360,483744,432989,1343350
3134994,0.765625,1543520,492675,482523,1284390
3135025,0.814001,1616610,542107,535782,1547080
3135275,0.815412,1448880,484375,449057,1303040
3135357,0.798805,1385370,448100,423148,1095710
3135468,0.779650,1450740,472570,431092,1269710
3135527,0.784505,1223460,381312,384343,939145
3135584,0.797243,1406950,448302,408382,1066980
3135856,0.767920,1358560,437490,427992,1108030
3136003,0.802976,1451210,466881,455168,1140280
3136340,0.831577,1539130,541747,446133,1572810
3136585,0.792099,1338640,413383,403118,984246
3137109,0.798072,1507870,467523,471128,1163040
3137172,0.832968,1236590,433403,351439,1190500
3137888,0.800066,1329090,453837,404085,1225440
3137969,0.807047,1417010,464261,396018,1136400
3138056,0.827517,1202170,424837,343679,1204300
3138080,0.817933,1502640,555442,394175,1680070
3138394,0.787846,1681650,564493,521211,1666950
3138508,0.817732,1468340,504290,430917,1340230
3138933,0.831144,1487970,515272,434076,1392560
3139043,0.787541,1231620,398968,367688,981685
3140000,0.766355,1285980,396848,420257,915906
3140013,0.816501,1480260,477302,432065,1298610
3140689,0.787459,1320360,421975,411171,1073620
3140966,0.820751,1612600,528918,472896,1378760
3141598,0.827811,1469690,496144,445203,1332240
3142723,0.775140,1454000,464405,434380,1178710
3142884,0.804663,1406130,432228,441209,992712
3143067,0.755183,1355720,444848,445852,1088610
3143104,0.826809,1508480,506848,457216,1513800
3143254,0.821441,1399320,453502,429338,1143870
3143943,0.815270,1536500,511760,480521,1396900
3144705,0.768997,1422770,453885,420925,1097670
3145303,0.779938,1243370,401955,389947,995186
3145576,0.824126,1542370,539545,502910,1638910
3145997,0.770040,1370220,419428,433676,960391
3146103,0.801571,1292210,432624,379518,1169900
3146422,0.796595,1375500,431540,407781,1058330
3146593,0.809034,1538130,498315,462614,1282400
3146808,0.758986,1657070,541511,502559,1392830
3147742,0.808649,1611150,518692,455600,1308580
3148233,0.809460,1510470,488993,481667,1292990
3149242,0.802434,1251340,403590,372959,1013440
3149323,0.822800,1489560,476396,454123,1229210
3149824,0.773071,1580630,506691,484892,1209250
3150429,0.766641,1364660,434712,447900,1107530
3150486,0.815490,1684370,560144,557463,1493980
3150780,0.830478,1279600,425145,372591,1078720
3150943,0.826756,1343180,445747,413887,1157800
3151648,0.807869,1648020,577238,479910,1609440
3151887,0.809599,1607900,540996,510461,1462260
3152144,0.833702,1234190,438668,347284,1271580
3152608,0.791579,1517100,501268,440322,1391120
3152770,0.760557,1607160,527090,482366,1515590
3153258,0.833258,1347310,456696,392797,1281940
3153582,0.838101,1225210,404526,344609,1097080
3154021,0.799587,1404360,473488,422067,1323330
3154271,0.812480,1480330,494215,446217,1253750
3154847,0.846797,1264600,462012,403498,1299950
3155064,0.801651,1252080,419816,353535,1103820
3155096,0.756189,1714760,530964,522691,1263810
3155903,0.844785,1310330,463473,376436,1342290
3155926,0.834865,1585360,547811,472087,1525960
3156243,0.806574,1299070,394228,400622,878200
3156723,0.812168,1504650,473481,467380,1155890
3157185,0.787333,1598910,515138,470073,1403050
3157314,0.747550,1212530,392484,353171,936484
3157807,0.755368,1288940,416738,390006,1061430
3158023,0.752056,1299800,389927,403288,876194
3158094,0.792086,1447380,464129,447170,1179780
3158526,0.780071,1600100,519056,504603,1236910
3158753,0.848687,1221910,439021,365390,1198370
3158821,0.840679,1330990,452092,404105,1265020
3159316,0.828237,1543640,532673,459594,1476290
3159817,0.787366,1296160,413565,384506,1086830
3160052,0.808649,1480190,488472,426595,1293380
3160213,0.766845,1382260,434696,414178,1020620
3160364,0.765662,1363250,399454,427512,825392
3160557,0.825231,1290390,459441,400950,1224790
3160672,0.799878,1415130,469707,422972,1217450
3161518,0.773444,1655130,537667,510947,1339640
3161622,0.802922,1322300,438924,399305,1129790
3161789,0.825585,1246010,411936,373010,1105320
3161844,0.775716,1381310,471152,399643,1281720
3162823,0.772150,1508630,509150,452302,1383480
3162841,0.819996,1536670,497276,468518,1316940
3162926,0.793654,1283560,410364,412584,1030790
3163127,0.829591,1348040,463956,428346,1361750
3163211,0.793034,1596440,491218,490558,1193040
3163488,0.754788,1456710,481833,457336,1299730
3163801,0.825065,1636100,566070,484760,1649320
3164336,0.794135,1581390,529842,466605,1357540
3164397,0.807206,1542780,494998,450910,1224730
3164489,0.831894,1293040,440406,383233,1249450
3164528,0.815022,1523750,487851,462519,1289340
3164910,0.816320,1481870,497053,432843,1268720
3165145,0.764103,1315190,430582,391140,1094050
3165328,0.814187,1302020,444591,399534,1207920
3166109,0.775576,1482620,484601,433170,1191380
3166554,0.772690,1406740,433532,418989,1028040
3167003,0.819388,1401870,487714,431721,1287530
3167232,0.827635,1258910,433417,400250,1256580
3167261,0.809021,1523970,511863,444050,1437840
3167371,0.845897,1212530,438717,377620,1197660
3167709,0.842714,1536430,508086,461094,1358080
3167951,0.804064,1341390,431373,394491,1123210
